,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
fyqoe,47.72908224744293,356.84999999999997,190.75062999999994,53.454008687123434,4.221860000000001,1.183090934566345,71.96937000000005,20.167961328289213,94.13000000000004,26.378029984587375
fzwtp,48.688374282217794,212.46,127.52076000000005,60.02106749505791,18.504079999999956,8.709441777275702,13.69845999999993,6.447547773698545,71.24078000000004,33.53138473124355
gcfwp,27.447305249210917,256.61,226.00964999999994,88.07515295584736,39.8321800000001,15.522458205058298,3.3234200000000165,1.2951248977046943,27.27693000000003,10.629722146447929
gcvrb,24.534383525873775,1110.5899999999997,878.2896699999993,79.08316030218168,40.17608000000114,3.617543828055462,68.85921000000074,6.200236811064458,163.44111999999956,14.71660288675385
gfneh,63.102853363567654,158.76,62.013809999999985,39.061356764928185,3.4358999999999966,2.164210128495841,41.01652999999999,25.83555681531871,55.72966000000002,35.1030864197531
gkiki,28.50108994321305,109.18000000000002,78.43154000000001,71.83691152225683,0.36903000000000474,0.33800146546987053,3.709030000000011,3.3971698113207642,27.039429999999996,24.765918666422415
gmmwm,18.921847253302552,277.05999999999995,239.22728999999993,86.34493972424744,14.592160000000014,5.266786977549995,3.6296499999999767,1.3100591929545864,34.20306000000004,12.345001082797967
gtjow,10.625266101546893,1144.3000000000002,1026.8005599999995,89.73176264965474,4.085480000000246,0.35702875120162936,81.37924000000098,7.111704972472338,36.12019999999989,3.1565323778729253
gtnjb,24.036906011092857,1200.7800000000002,919.3528299999997,76.56296990289641,7.203190000000312,0.5998759139892662,56.75382000000065,4.7264128316594745,224.67334999999986,18.71061726544411
gukoa,23.764608471332316,240.34000000000003,187.87942999999999,78.17235166846966,4.655290000000061,1.9369601398019725,14.24654000000005,5.92766081384707,38.21402999999998,15.899987517683272
guvqf,33.16198309689089,927.6400000000001,668.0870100000003,72.02007351989998,48.07082999999895,5.182056616790883,99.30769999999957,10.705413738088003,160.2452900000002,17.274512742012007
gwloo,5.892490911696902,767.47,742.1146799999998,96.69624610733968,19.867780000000046,2.5887370190365804,18.24276000000003,2.3769997524333233,7.112560000000137,0.9267541402269974
gylzn,11.641183850364936,350.72,316.28710000000007,90.18222513686132,6.395059999999932,1.8234089872262578,1.8963099999999553,0.5406905793795492,32.53659000000002,9.277084283759129
gyomp,20.74538258575197,56.85000000000001,47.25000000000001,83.11345646437995,2.193749999999998,3.8588390501319214,0.04875000000000013,0.08575197889182079,9.55125,16.800791556728228
gzhwb,36.09191996298867,864.5999999999996,582.57916,67.38135091371736,30.02990000000034,3.473270876706032,58.13615999999975,6.724052741151952,223.88467999999983,25.89459634513069
hcyak,45.18363998010937,301.65,169.36109,56.14489971821648,4.007539999999925,1.3285396983258497,8.016299999999834,2.6574838388860713,124.27261000000016,41.19761644289745
heolf,27.703771035277885,1110.04,849.3375700000006,76.51414093185836,46.820509999999416,4.217911967136267,35.2129699999993,3.1722253252134434,225.48945999999995,20.31363374292818
hhepf,28.578322564411344,1112.7700000000002,829.7291300000002,74.56429720427401,34.97013,3.142619768685352,120.5757500000001,10.835639889644767,162.46512000000013,14.60006290608123
hqhrb,18.609269057962987,1077.2399999999996,910.6928099999998,84.5394536036538,33.91930000000046,3.1487226616167683,53.0629799999998,4.925827113735084,113.48421000000013,10.534719282611134
iabca,28.711946902654912,164.98000000000005,122.72500999999997,74.38781064371435,5.113980000000018,3.099757546369267,20.648950000000028,12.516032246332902,21.606040000000043,13.096157109952744
iacod,16.047572863970505,1002.210000000001,903.2423200000011,90.12505562706421,61.86269999999902,6.172628491034709,38.123310000000004,3.8039243272368033,60.84436999999991,6.07102004569899
ibrnm,19.937796775376256,1118.2699999999998,932.2136699999998,83.36212810859631,36.9020699999999,3.299924883972557,8.9377,0.7992434742951168,177.1186300000001,15.838628417108584
ifwki,25.738481956137072,372.97999999999985,287.05454999999984,76.96245106976244,10.073939999999975,2.7009330258995066,21.270790000000083,5.702930452034987,64.65465999999995,17.33461847820258
iiprr,24.562004163826185,1085.5400000000006,895.461570000001,82.48996536286091,76.55194999999935,7.051969526687115,3.370009999999434,0.31044549256585957,186.70842000000016,17.19958914457321
ikhje,34.50000575837843,868.2999999999998,575.4719499999999,66.27570540135898,6.735499999999988,0.7757111597374168,59.7030000000001,6.875849360820006,233.12504999999976,26.848445237821007
iowob,14.919340577394344,1126.44,984.5612699999997,87.40467934377327,26.17869000000047,2.3240199211676136,24.524899999999977,2.177204289620395,117.35383000000041,10.418116366606336
isrps,43.278254957507066,176.5,101.40569000000002,57.453648725212474,1.2918099999999875,0.7319036827195395,37.57742999999997,21.290328611898,37.516880000000015,21.256022662889528
isxwc,10.852712871287142,126.25,115.13596,91.1968,2.5875100000000133,2.0495128712871393,2.865630000000005,2.2698059405940634,8.24841,6.533394059405941
jbowg,17.19659276237498,1134.35,963.6122199999996,84.94840393176706,24.331770000000247,2.1449966941420415,19.585550000000183,1.72658791378324,151.15223000000015,13.325008154449698
jdrwl,44.02194704470817,1221.0299999999997,692.8616000000001,56.744027583269876,9.352780000000237,0.7659746279780381,71.50902000000022,5.8564507014569855,456.6593799999996,37.399521715273146
jeymh,25.13006713796625,1124.5499999999997,854.2494800000002,75.9636725801432,12.2996499999997,1.0937397181094395,8.04716999999959,0.7155902360944014,262.25335000000007,23.320737183762404
jgiyq,6.847550402945855,1080.7900000000004,1029.1402200000011,95.22110863349964,22.357859999999125,2.068659036445481,24.345959999999366,2.2526078146540365,27.30382000000006,2.526283551846339
jjkrt,25.072006950303326,995.6400000000001,761.13092,76.44639829657304,15.11784999999989,1.5184052468763698,84.21909000000029,8.458789321441513,150.28998999999988,15.094812381985442
jjvkx,74.81805259417197,182.91000000000003,50.16966000000001,27.428604231589304,4.109359999999954,2.2466568257612782,0.34810999999999126,0.19031764255644373,132.39223000000004,72.38107812585426
jrfaz,29.8200343938091,1256.04,886.3865000000002,70.56992611700267,4.898059999999793,0.3899605108117411,115.66560000000001,9.208751313652433,253.98789999999994,20.22132256934492
jsbdo,40.474720851876256,869.6099999999999,538.4949699999995,61.92373247777735,20.857190000000507,2.3984533296535813,89.14092000000045,10.250677890088712,241.9741100000001,27.825589632133962
jsymf,14.39053596211934,979.9200000000002,860.3061199999999,87.79350559229322,21.40185999999955,2.184041554412559,59.84873000000016,6.107511837701052,59.76515000000016,6.09898257000573
jttar,4.293534818760547,615.7600000000001,598.72792,97.2339742756918,9.405789999999929,1.5275090944523722,3.322019999999989,0.5394991555151339,13.710060000000034,2.2265265687930413
jwggf,24.99086867870459,1088.78,835.3219299999996,76.72091056044376,18.637509999999537,1.7117792391483622,104.48561000000066,9.59657690258828,148.97245999999961,13.682512536967947
jxpom,43.52022816032882,486.49999999999983,287.16789000000017,59.02731551901342,12.393799999999992,2.54754367934224,55.9419299999998,11.498855087358647,143.39017999999987,29.473829393627938
jzkzt,42.179257544581695,1166.3999999999996,734.8074499999999,62.997895233196175,60.38631000000095,5.17715277777786,113.96443000000096,9.7706129972566,317.62811999999883,27.231491769547233
kajfh,34.870215987987876,779.2100000000002,558.02001,71.61355860422734,50.52222000000009,6.483774592215203,16.340290000000095,2.097032892288355,204.84970000000015,26.289408503484314
kgjaa,13.044528015024826,1118.1499999999996,993.1558800000003,88.82134597325944,20.863270000000586,1.8658739882842723,33.34638999999959,2.9822823413674016,91.64772999999987,8.196371685373151
kmjvh,21.36956319829534,366.07,328.5766900000001,89.7578851039419,40.73424999999983,11.127448302237232,1.8548399999999496,0.506689977326727,35.638469999999955,9.735424918731379
kmunk,26.183881663496635,389.05999999999995,292.60284,75.20763892458747,5.413850000000066,1.3915205880841173,15.39384999999995,3.9566776332699205,81.06330999999997,20.835683442142596
kpjud,43.77459496255962,146.89999999999995,84.57937999999997,57.57616065350578,1.9842600000000488,1.3507556160653842,13.091130000000017,8.911592920353996,49.22948999999999,33.51224642614024
ktvto,26.930348482575845,800.0399999999997,613.4214599999999,76.67384880755964,28.83501999999998,3.6041972901354917,57.48500999999951,7.185266986650609,129.13353000000023,16.140884205789746
kvkje,12.510302748020461,858.7999999999997,794.8622500000001,92.55498952026086,43.50073000000012,5.065292268281339,38.48637000000011,4.481412435957163,25.45137999999946,2.96359804378196
kzmyi,14.766473708090167,639.1700000000002,562.8463600000005,88.05894519454922,18.05923000000015,2.825418902639383,8.706079999999758,1.3620914623652167,67.61756000000003,10.578963343085565
laoyl,16.63733888155886,295.5899999999999,254.68646000000004,86.16206908217467,8.274769999999945,2.799407963733532,14.32353999999994,4.84574579654249,26.57999999999994,8.99218512128284
